CTE25P_C1_O17_R1.fastq,CTE25P_O17_C1_R1.fastq
CTE25P_C1_O17_R2.fastq,CTE25P_O17_C1_R2.fastq
CTE25P_C2_O17_R1.fastq,CTE25P_O17_C2_R1.fastq
CTE25P_C2_O17_R2.fastq,CTE25P_O17_C2_R2.fastq
CTE25P_C3_O17_R1.fastq,CTE25P_O17_C3_R1.fastq
CTE25P_C3_O17_R2.fastq,CTE25P_O17_C3_R2.fastq
CTE25P_H1_O17_R1.fastq,CTE25P_O17_H1_R1.fastq
CTE25P_H1_O17_R2.fastq,CTE25P_O17_H1_R2.fastq
CTE25P_H2_O17_R1.fastq,CTE25P_O17_H2_R1.fastq
CTE25P_H2_O17_R2.fastq,CTE25P_O17_H2_R2.fastq
CTE25P_H3_O17_R1.fastq,CTE25P_O17_H3_R1.fastq
CTE25P_H3_O17_R2.fastq,CTE25P_O17_H3_R2.fastq
CTE25P_HP1_O17_R1.fastq,CTE25P_O17_HP1_R1.fastq
CTE25P_HP1_O17_R2.fastq,CTE25P_O17_HP1_R2.fastq
CTE25P_HP2_O17_R1.fastq,CTE25P_O17_HP2_R1.fastq
CTE25P_HP2_O17_R2.fastq,CTE25P_O17_HP2_R2.fastq
CTE31N_C1_O17_R1.fastq,CTE31N_O17_C1_R1.fastq
CTE31N_C1_O17_R2.fastq,CTE31N_O17_C1_R2.fastq
CTE31N_C2_O17_R1.fastq,CTE31N_O17_C2_R1.fastq
CTE31N_C2_O17_R2.fastq,CTE31N_O17_C2_R2.fastq
CTE31N_C3_O17_R1.fastq,CTE31N_O17_C3_R1.fastq
CTE31N_C3_O17_R2.fastq,CTE31N_O17_C3_R2.fastq
CTE31N_H1_O17_R1.fastq,CTE31N_O17_H1_R1.fastq
CTE31N_H1_O17_R2.fastq,CTE31N_O17_H1_R2.fastq
CTE31N_H2_O17_R1.fastq,CTE31N_O17_H2_R1.fastq
CTE31N_H2_O17_R2.fastq,CTE31N_O17_H2_R2.fastq
CTE31N_H3_O17_R1.fastq,CTE31N_O17_H3_R1.fastq
CTE31N_H3_O17_R2.fastq,CTE31N_O17_H3_R2.fastq
CTE31N_HP2_O17_R1.fastq,CTE31N_O17_HP2_R1.fastq
CTE31N_HP2_O17_R2.fastq,CTE31N_O17_HP2_R2.fastq
CTE31N_HP3_O17_R1.fastq,CTE31N_O17_HP3_R1.fastq
CTE31N_HP3_O17_R2.fastq,CTE31N_O17_HP3_R2.fastq
CTE31P_C1_O17_R1.fastq,CTE31P_O17_C1_R1.fastq
CTE31P_C1_O17_R2.fastq,CTE31P_O17_C1_R2.fastq
CTE31P_C2_O17_R1.fastq,CTE31P_O17_C2_R1.fastq
CTE31P_C2_O17_R2.fastq,CTE31P_O17_C2_R2.fastq
CTE31P_C3_O17_R1.fastq,CTE31P_O17_C3_R1.fastq
CTE31P_C3_O17_R2.fastq,CTE31P_O17_C3_R2.fastq
CTE31P_H1_O17_R1.fastq,CTE31P_O17_H1_R1.fastq
CTE31P_H1_O17_R2.fastq,CTE31P_O17_H1_R2.fastq
CTE31P_H2_O17_R1.fastq,CTE31P_O17_H2_R1.fastq
CTE31P_H2_O17_R2.fastq,CTE31P_O17_H2_R2.fastq
CTE31P_H3_O17_R1.fastq,CTE31P_O17_H3_R1.fastq
CTE31P_H3_O17_R2.fastq,CTE31P_O17_H3_R2.fastq
CTE31P_HP1_O17_R1.fastq,CTE31P_O17_HP1_R1.fastq
CTE31P_HP1_O17_R2.fastq,CTE31P_O17_HP1_R2.fastq
CTE31P_HP2_O17_R1.fastq,CTE31P_O17_HP2_R1.fastq
CTE31P_HP2_O17_R2.fastq,CTE31P_O17_HP2_R2.fastq
CTE31P_HP3_O17_R1.fastq,CTE31P_O17_HP3_R1.fastq
CTE31P_HP3_O17_R2.fastq,CTE31P_O17_HP3_R2.fastq
CTE25N_C1_O17_R1.fastq,CTE25N_O17_C1_R1.fastq
CTE25N_C1_O17_R2.fastq,CTE25N_O17_C1_R2.fastq
CTE25N_C2_O17_R1.fastq,CTE25N_O17_C2_R1.fastq
CTE25N_C2_O17_R2.fastq,CTE25N_O17_C2_R2.fastq
CTE25N_C3_O17_R1.fastq,CTE25N_O17_C3_R1.fastq
CTE25N_C3_O17_R2.fastq,CTE25N_O17_C3_R2.fastq
CTE25N_H1_O17_R1.fastq,CTE25N_O17_H1_R1.fastq
CTE25N_H1_O17_R2.fastq,CTE25N_O17_H1_R2.fastq
CTE25N_H2_O17_R1.fastq,CTE25N_O17_H2_R1.fastq
CTE25N_H2_O17_R2.fastq,CTE25N_O17_H2_R2.fastq
CTE25N_H3_O17_R1.fastq,CTE25N_O17_H3_R1.fastq
CTE25N_H3_O17_R2.fastq,CTE25N_O17_H3_R2.fastq
CTE25N_HP2_O17_R1.fastq,CTE25N_O17_HP2_R1.fastq
CTE25N_HP2_O17_R2.fastq,CTE25N_O17_HP2_R2.fastq
CTE25N_HP3_O17_R1.fastq,CTE25N_O17_HP3_R1.fastq
CTE25N_HP3_O17_R2.fastq,CTE25N_O17_HP3_R2.fastq
