"Sample","Epichloe Reads","Fescue Reads","Total Reads","Percent Epichloe","Percent Fescue"
"CTE25N_C1_O17",42,44850382,44850424,0,1
"CTE25N_C2_O17",117512,48338813,48456325,0.00243,0.99757
"CTE25N_C3_O17",252,49410036,49410288,1e-05,0.99999
"CTE25N_H1_O17",222,57416814,57417036,0,1
"CTE25N_H2_O17",102,48787096,48787198,0,1
"CTE25N_H3_O17",376,50697869,50698245,1e-05,0.99999
"CTE25N_HP2_O17",216,43417327,43417543,0,1
"CTE25N_HP3_O17",182,59368604,59368786,0,1
"CTE25N_J16_C1_A018",150,49145629,49145779,0,1
"CTE25N_J16_C2_A146",40,45261387,45261427,0,1
"CTE25N_J16_H1_A052",42,49662501,49662543,0,1
"CTE25N_J16_H2_A228",36,45641675,45641711,0,1
"CTE25N_J16_H3_S290_F61",40,52520815,52520855,0,1
"CTE25N_J16_HP1_A112",236,54522181,54522417,0,1
"CTE25N_J16_HP2_A178",26,49251292,49251318,0,1
"CTE25N_J16_HP3_S372_F63",162839,49898198,50061037,0.00325,0.99675
"CTE25N_J17_C2_S018_F65",78,45869710,45869788,0,1
"CTE25N_J17_C3_S260_F76",35200,46236920,46272120,0.00076,0.99924
"CTE25N_J17_H1_S052_F67",126,45553255,45553381,0,1
"CTE25N_J17_H2_S228_F74",250,45093411,45093661,1e-05,0.99999
"CTE25N_J17_H3_S290_F78",666,44999884,45000550,1e-05,0.99999
"CTE25N_J17_HP1_S112_F70",378,59764539,59764917,1e-05,0.99999
"CTE25N_J17_HP2_S178_F72",152,42747162,42747314,0,1
"CTE25N_J17_HP3_S372_F80",128,45855573,45855701,0,1
"CTE25N_O16_C1",108,61132267,61132375,0,1
"CTE25N_O16_C2",260,49269236,49269496,1e-05,0.99999
"CTE25N_O16_C3",143,59229613,59229756,0,1
"CTE25N_O16_H1",464,61790303,61790767,1e-05,0.99999
"CTE25N_O16_H2",542,63617541,63618083,1e-05,0.99999
"CTE25N_O16_H3",724,56901942,56902666,1e-05,0.99999
"CTE25N_O16_HP1",252,51974061,51974313,0,1
"CTE25N_O16_HP2",306,56790627,56790933,1e-05,0.99999
"CTE25N_O16_HP3",124,47901701,47901825,0,1
"CTE25P_C1_O17",680814,45827027,46507841,0.01464,0.98536
"CTE25P_C2_O17",208029,47715513,47923542,0.00434,0.99566
"CTE25P_C3_O17",410153,43913924,44324077,0.00925,0.99075
"CTE25P_H1_O17",701613,77151486,77853099,0.00901,0.99099
