SRR29020040,CTE25P_O16_C1
SRR29020041,CTE25N_O16_HP3
SRR29020042,CTE25N_O16_HP2
SRR29020043,CTE25N_O16_HP1
SRR29020044,CTE25N_O16_H3
SRR29020045,CTE25N_O16_H2
SRR29020051,CTE25N_O16_H1
SRR29020062,CTE25N_O16_C3
SRR29020066,CTE25P_O16_HP3
SRR29020067,CTE25P_O16_HP2
SRR29020068,CTE25P_O16_HP1
SRR29020069,CTE25P_O16_H3
SRR29020070,CTE25P_O16_H2
SRR29020071,CTE25P_O16_H1
SRR29020072,CTE25P_O16_C3
SRR29020073,CTE25N_O16_C2
SRR29020074,CTE25N_O16_C1
SRR29024306,CTE25N_O17_H2
SRR29024307,CTE25P_O17_HP2
SRR29024308,CTE25N_O17_HP2
SRR29024309,CTE25N_O17_C2
SRR29024310,CTE25P_O17_C2
SRR29024311,CTE25P_O17_HP1
SRR29024315,CTE25P_O17_H1
SRR29024326,CTE25N_O17_H1
SRR29024331,CTE25N_O17_HP3
SRR29024332,CTE25P_O17_H3
SRR29024333,CTE25N_O17_H3
SRR29024334,CTE25P_O17_C3
SRR29024335,CTE25N_O17_C3
SRR29024336,CTE25P_O17_H2
SRR29024337,CTE25P_O17_C1
SRR29024338,CTE25N_O17_C1
SRR29020046,CTE31P_O16_HP3
SRR29020047,CTE31P_O16_HP2
SRR29020050,CTE31P_O16_H2
SRR29020052,CTE31P_O16_H1
SRR29020053,CTE31P_O16_C3
SRR29020054,CTE31P_O16_C2
SRR29020055,CTE31P_O16_C1
SRR29020056,CTE31N_O16_HP3
SRR29020057,CTE31N_O16_HP2
SRR29020059,CTE31N_O16_H3
SRR29020060,CTE31N_O16_H2
SRR29020061,CTE31N_O16_H1
SRR29020063,CTE31N_O16_C3
SRR29020064,CTE31N_O16_C2
SRR29020065,CTE31N_O16_C1
SRR29020048,CTE31P_O16_HP1
SRR29020049,CTE31P_O16_H3
SRR29020058,CTE31N_O16_HP1
SRR29024312,CTE31N_O17_HP3
SRR29024313,CTE31P_O17_HP3
SRR29024314,CTE31N_O17_H3
SRR29024316,CTE31P_O17_H3
SRR29024317,CTE31P_O17_C3
SRR29024318,CTE31N_O17_C3
SRR29024319,CTE31P_O17_H2
SRR29024320,CTE31N_O17_H2
SRR29024321,CTE31N_O17_HP2
SRR29024322,CTE31P_O17_HP2
SRR29024323,CTE31N_O17_C2
SRR29024324,CTE31P_O17_C2
SRR29024325,CTE31P_O17_HP1
SRR29024327,CTE31N_O17_H1
SRR29024328,CTE31P_O17_H1
SRR29024329,CTE31P_O17_C1
SRR29024330,CTE31N_O17_C1
