Sample,Clone,Time,Treatment,Endophyte,Rep,Month,Year
CTE25N_J16_C1,CTE25,June16,Control,Negative,1,June,16
CTE25N_J16_C2,CTE25,June16,Control,Negative,2,June,16
CTE25N_J16_H1,CTE25,June16,Heat,Negative,1,June,16
CTE25N_J16_H2,CTE25,June16,Heat,Negative,2,June,16
CTE25N_J16_H3,CTE25,June16,Heat,Negative,3,June,16
CTE25N_J16_HP1,CTE25,June16,HeatxPercipitation,Negative,1,June,16
CTE25N_J16_HP2,CTE25,June16,HeatxPercipitation,Negative,2,June,16
CTE25N_J16_HP3,CTE25,June16,HeatxPercipitation,Negative,3,June,16
CTE25N_J17_C2,CTE25,June17,Control,Negative,2,June,17
CTE25N_J17_C3,CTE25,June17,Control,Negative,3,June,17
CTE25N_J17_H1,CTE25,June17,Heat,Negative,1,June,17
CTE25N_J17_H2,CTE25,June17,Heat,Negative,2,June,17
CTE25N_J17_H3,CTE25,June17,Heat,Negative,3,June,17
CTE25N_J17_HP1,CTE25,June17,HeatxPercipitation,Negative,1,June,17
CTE25N_J17_HP2,CTE25,June17,HeatxPercipitation,Negative,2,June,17
CTE25N_J17_HP3,CTE25,June17,HeatxPercipitation,Negative,3,June,17
CTE25P_J16_C1,CTE25,June16,Control,Positive,1,June,16
CTE25P_J16_C2,CTE25,June16,Control,Positive,2,June,16
CTE25P_J16_C3,CTE25,June16,Control,Positive,3,June,16
CTE25P_J16_H1,CTE25,June16,Heat,Positive,1,June,16
CTE25P_J16_H2,CTE25,June16,Heat,Positive,2,June,16
CTE25P_J16_H3,CTE25,June16,Heat,Positive,3,June,16
CTE25P_J16_HP1,CTE25,June16,HeatxPercipitation,Positive,1,June,16
CTE25P_J16_HP2,CTE25,June16,HeatxPercipitation,Positive,2,June,16
CTE25P_J16_HP3,CTE25,June16,HeatxPercipitation,Positive,3,June,16
CTE25P_J17_C1,CTE25,June17,Control,Positive,1,June,17
CTE25P_J17_C2,CTE25,June17,Control,Positive,2,June,17
CTE25P_J17_C3,CTE25,June17,Control,Positive,3,June,17
CTE25P_J17_H1,CTE25,June17,Heat,Positive,1,June,17
CTE25P_J17_H2,CTE25,June17,Heat,Positive,2,June,17
CTE25P_J17_H3,CTE25,June17,Heat,Positive,3,June,17
CTE25P_J17_HP1,CTE25,June17,HeatxPercipitation,Positive,1,June,17
CTE25P_J17_HP2,CTE25,June17,HeatxPercipitation,Positive,2,June,17
CTE31N_J16_C1,CTE31,June16,Control,Negative,1,June,16
CTE31N_J16_C2,CTE31,June16,Control,Negative,2,June,16
CTE31N_J16_H1,CTE31,June16,Heat,Negative,1,June,16
CTE31N_J16_H2,CTE31,June16,Heat,Negative,2,June,16
CTE31N_J16_H3,CTE31,June16,Heat,Negative,3,June,16
CTE31N_J16_HP1,CTE31,June16,HeatxPercipitation,Negative,1,June,16
CTE31N_J16_HP2,CTE31,June16,HeatxPercipitation,Negative,2,June,16
CTE31N_J16_HP3,CTE31,June16,HeatxPercipitation,Negative,3,June,16
CTE31N_J17_C1,CTE31,June17,Control,Negative,1,June,17
CTE31N_J17_C2,CTE31,June17,Control,Negative,2,June,17
CTE31N_J17_C3,CTE31,June17,Control,Negative,3,June,17
CTE31N_J17_H2,CTE31,June17,Heat,Negative,2,June,17
CTE31N_J17_H3,CTE31,June17,Heat,Negative,3,June,17
CTE31N_J17_HP1,CTE31,June17,HeatxPercipitation,Negative,1,June,17
CTE31N_J17_HP2,CTE31,June17,HeatxPercipitation,Negative,2,June,17
CTE31N_J17_HP3,CTE31,June17,HeatxPercipitation,Negative,3,June,17
CTE31P_J16_C1,CTE31,June16,Control,Positive,1,June,16
CTE31P_J16_C2,CTE31,June16,Control,Positive,2,June,16
CTE31P_J16_C3,CTE31,June16,Control,Positive,3,June,16
CTE31P_J16_H1,CTE31,June16,Heat,Positive,1,June,16
CTE31P_J16_H2,CTE31,June16,Heat,Positive,2,June,16
CTE31P_J16_H3,CTE31,June16,Heat,Positive,3,June,16
CTE31P_J16_HP1,CTE31,June16,HeatxPercipitation,Positive,1,June,16
CTE31P_J16_HP2,CTE31,June16,HeatxPercipitation,Positive,2,June,16
CTE31P_J16_HP3,CTE31,June16,HeatxPercipitation,Positive,3,June,16
CTE31P_J17_C1,CTE31,June17,Control,Positive,1,June,17
CTE31P_J17_C2,CTE31,June17,Control,Positive,2,June,17
CTE31P_J17_C3,CTE31,June17,Control,Positive,3,June,17
CTE31P_J17_H1,CTE31,June17,Heat,Positive,1,June,17
CTE31P_J17_H2,CTE31,June17,Heat,Positive,2,June,17
CTE31P_J17_H3,CTE31,June17,Heat,Positive,3,June,17
CTE31P_J17_HP1,CTE31,June17,HeatxPercipitation,Positive,1,June,17
CTE31P_J17_HP2,CTE31,June17,HeatxPercipitation,Positive,2,June,17
CTE31P_J17_HP3,CTE31,June17,HeatxPercipitation,Positive,3,June,17
CTE45N_J16_C2,CTE45,June16,Control,Negative,2,June,16
CTE45N_J16_C3,CTE45,June16,Control,Negative,3,June,16
CTE45N_J16_H1,CTE45,June16,Heat,Negative,1,June,16
CTE45N_J16_H2,CTE45,June16,Heat,Negative,2,June,16
CTE45N_J16_H3,CTE45,June16,Heat,Negative,3,June,16
CTE45N_J16_HP1,CTE45,June16,HeatxPercipitation,Negative,1,June,16
