Run,genotype
SRR28479688,CTE25P_J17_H1_S058_F68
SRR28479689,CTE25P_J17_C3_S282_F77
SRR28479690,CTE25P_J17_C2_S130_F71
SRR28479691,CTE25P_J17_C1_S028_F66
SRR28479692,CTE25N_J17_HP3_S372_F80
SRR28479693,CTE25N_J17_HP2_S178_F72
SRR28479694,CTE25N_J17_HP1_S112_F70
SRR28479695,CTE25N_J17_H3_S290_F78
SRR28479696,CTE25N_J16_HP3_S372_F63
SRR28479697,CTE25N_J17_H2_S228_F74
SRR28479698,CTE25N_J17_H1_S052_F67
SRR28479699,CTE25N_J17_C3_S260_F76
SRR28479700,CTE25N_J17_C2_S018_F65
SRR28479701,CTE46P_J16_HP2_V164
SRR28479702,CTE46P_J16_HP1_V124
SRR28479703,CTE46P_J16_H3_V316
SRR28479704,CTE46P_J16_H2_V240
SRR28479705,CTE46P_J16_H1_V034
SRR28479706,CTE46P_J16_C3_V274
SRR28479707,CTE25N_J16_HP2_A178
SRR28479708,CTE46P_J16_C2_V148
SRR28479709,CTE46P_J16_C1_V004
SRR28479710,CTE46N_J16_HP3_V358
SRR28479711,CTE46N_J16_HP2_V176
SRR28479712,CTE46N_J16_HP1_V102
SRR28479713,CTE46N_J16_H3_V308
SRR28479714,CTE31P_J16_H1_P048
SRR28479715,CTE31P_J16_C3_P284
SRR28479716,CTE31P_J16_C2_P144
SRR28479717,CTE31P_J16_C1_P026
SRR28479718,CTE31N_J16_HP3_P368
SRR28479719,CTE31N_J16_HP2_P186
SRR28479720,CTE31N_J16_HP1_P098
SRR28479721,CTE31N_J16_H3_P306
SRR28479722,CTE31N_J16_H2_P226
SRR28479723,CTE25N_J16_H1_A052
SRR28479724,CTE31N_J16_H1_P060
SRR28479725,CTE31N_J16_C2_P154
SRR28479726,CTE31N_J16_C1_P020
SRR28479727,CTE25P_J16_HP3_S380_F64
SRR28479728,CTE25P_J16_HP2_A188
SRR28479729,CTE25P_J16_HP1_A100
SRR28479730,CTE46P_J17_HP3_S356_F23
SRR28479731,CTE46P_J17_HP2_S164_F15
SRR28479732,CTE46P_J17_HP1_S124_F12
SRR28479733,CTE46P_J17_H3_S316_F22
SRR28479734,CTE25P_J16_H3_S292_F62
SRR28479735,CTE46P_J17_H2_S240_F17
SRR28479736,CTE46P_J17_H1_S034_F8
SRR28479737,CTE46P_J17_C3_S274_F20
SRR28479738,CTE46P_J17_C2_S148_F14
SRR28479739,CTE46P_J17_C1_S004_F7
SRR28479740,CTE45N_J17_C1_S2_1
SRR28479741,CTE31P_J17_HP3_S354_F97
SRR28479742,CTE31P_J17_HP2_S162_F89
SRR28479743,CTE31P_J17_HP1_S116_F86
SRR28479744,CTE31P_J17_H3_S304_F95
SRR28479745,CTE31P_J17_H2_S259_F92
SRR28479746,CTE31P_J17_H1_S048_F83
SRR28479747,CTE31P_J17_C3_S284_F94
SRR28479748,CTE31P_J17_C2_S144_F87
SRR28479749,CTE31P_J17_C1_S026_F82
SRR28479750,CTE25P_J16_C2_A130
SRR28479751,CTE31N_J17_HP3_S368_F98
SRR28479752,CTE31N_J17_HP2_S186_F90
SRR28479753,CTE31N_J17_HP1_S098_F85
SRR28479754,CTE31N_J17_H3_S306_F96
SRR28479755,CTE31N_J17_H2_S226_F91
SRR28479756,CTE31N_J17_C3_S262_F93
SRR28479757,CTE31N_J17_C2_S154_F88
SRR28479758,CTE31N_J17_C1_S020_F81
SRR28479759,CTE25P_J17_HP2_S188_F73
SRR28479760,CTE25P_J17_HP1_S100_F69
SRR28479761,CTE25P_J16_C1_A028
SRR28479762,CTE25P_J17_H3_S292_F79
SRR28479763,CTE25P_J17_H2_S230_F75
SRR28479764,CTE46N_J17_HP3_S358_F24
SRR28479765,CTE46N_J17_HP2_S176_F16
SRR28479766,CTE46N_J17_HP1_S102_F11
SRR28479767,CTE46N_J17_H3_S308_F21
SRR28479768,CTE46N_J17_H2_S252_F18
SRR28479769,CTE25P_J16_H2_A230
SRR28479770,CTE46N_J17_H1_S050_F10
SRR28479771,CTE46N_J17_C3_S258_F19
SRR28479772,CTE46N_J17_C2_S132_F13
SRR28479773,CTE46N_J17_C1_S016_F9
SRR28479774,CTE45P_J17_HP3_F5_1
SRR28479775,CTE45P_J17_HP2_S9_1
SRR28479776,CTE45P_J17_HP1_S6_1
SRR28479777,CTE45P_J17_H3_F4_1
SRR28479778,CTE45P_J17_H2_S11_1
SRR28479779,CTE45P_J17_H1_S4_1
SRR28479780,CTE25P_J16_H1_A058
SRR28479781,CTE45P_J17_C3_F2_1
SRR28479782,CTE45P_J17_C2_S8_1
SRR28479783,CTE45P_J17_C1_S1_1
SRR28479784,CTE45N_J17_HP3_F6_1
SRR28479785,CTE45N_J17_HP1_S5_1
SRR28479786,CTE45N_J17_H3_F3_1
SRR28479787,CTE45N_J17_H2_S12_1
SRR28479788,CTE45N_J17_H1_S3_1
SRR28479789,CTE45N_J17_C3_F1_1
SRR28479790,CTE46N_J16_H2_V252
SRR28479791,CTE45N_J17_C2_S7_1
SRR28479792,CTE46N_J16_H1_V050
SRR28479793,CTE46N_J16_C2_V132
SRR28479794,CTE46N_J16_C1_V016
SRR28479795,CTE25N_J16_HP1_A112
SRR28479796,CTE45P_J16_HP3_Z370
SRR28479797,CTE45P_J16_HP2_Z166
SRR28479798,CTE45P_J16_HP1_Z122
SRR28479799,CTE45P_J16_H3_Z314
SRR28479800,CTE45P_J16_H2_Z242
SRR28479801,CTE45P_J16_H1_Z038
SRR28479802,CTE45P_J16_C3_Z276
SRR28479803,CTE45P_J16_C2_Z156
SRR28479804,CTE45N_J16_HP3_Z378
SRR28479805,CTE45N_J16_HP2_Z180
SRR28479806,CTE25N_J16_H3_S290_F61
SRR28479807,CTE45N_J16_HP1_Z114
SRR28479808,CTE45N_J16_H3_Z294
SRR28479809,CTE45N_J16_H2_Z244
SRR28479810,CTE45N_J16_H1_Z036
SRR28479811,CTE45N_J16_C3_Z272
SRR28479812,CTE45N_J16_C2_Z134
SRR28479813,CTE31P_J16_HP3_P354
SRR28479814,CTE31P_J16_HP2_P162
SRR28479815,CTE31P_J16_HP1_P116
SRR28479816,CTE31P_J16_H3_P304
SRR28479817,CTE25N_J16_H2_A228
SRR28479818,CTE31P_J16_H2_P250
SRR28479819,CTE25P_J16_C3_A282
SRR28479820,CTE25N_J16_C2_A146
SRR28479821,CTE25N_J16_C1_A018
SRR28454376,CTE46N_O17_H3
SRR28454377,CTE46N_O17_H2
SRR28454378,CTE45P_O16_C3
SRR28454379,CTE46N_O17_H1
SRR28454380,CTE46N_O17_C3
SRR28454381,CTE46N_O17_C2
SRR28454382,CTE46N_O17_C1
SRR28454383,CTE46P_O16_HP3
SRR28454384,CTE46P_O16_HP2
SRR28454386,CTE45N_O16_H3
SRR28454387,CTE46P_O16_H3
SRR28454388,CTE46P_O16_H2
SRR28454389,CTE46P_O16_H1
SRR28454390,CTE46P_O16_C3
SRR28454391,CTE46P_O16_C2
SRR28454392,CTE46P_O16_C1
SRR28454393,CTE46N_O16_HP3
SRR28454394,CTE46N_O16_HP2
SRR28454397,CTE45N_O16_H2
SRR28454398,CTE46N_O16_H2
SRR28454399,CTE46N_O16_H1
SRR28454400,CTE46N_O16_C3
SRR28454401,CTE46N_O16_C2
SRR28454403,CTE45P_O16_C2
SRR28454404,CTE45N_O16_C2
SRR28454406,CTE45P_O16_C1
SRR28454407,CTE45N_O16_HP3
SRR28454408,CTE46P_O17_HP3
SRR28454409,CTE45N_O16_HP2
SRR28454410,CTE46P_O17_HP2
SRR28454411,CTE46P_O17_HP1
SRR28454412,CTE46P_O17_H3
SRR28454413,CTE46P_O17_H2
SRR28454414,CTE46P_O17_H1
SRR28454415,CTE46P_O17_C3
SRR28454416,CTE46P_O17_C2
SRR28454417,CTE46P_O17_C1
SRR28454418,CTE46N_O17_HP3
SRR28454419,CTE46N_O17_HP2
SRR28454420,CTE45N_O16_HP1
SRR28454421,CTE46N_O17_HP1
SRR28454422,CTE45P_O17_HP3
SRR28454423,CTE45P_O17_HP1
SRR28454424,CTE45P_O17_H3
SRR28454425,CTE45P_O17_H2
SRR28454426,CTE45P_O17_H1
SRR28454427,CTE45N_O16_H1
SRR28454428,CTE45P_O17_C3
SRR28454429,CTE45P_O17_C2
SRR28454430,CTE45P_O17_C1
SRR28454431,CTE45N_O17_HP3
SRR28454432,CTE45N_O17_HP2
SRR28454433,CTE45N_O17_HP1
SRR28454434,CTE45N_O17_H3
SRR28454435,CTE45N_O17_H2
SRR28454436,CTE45N_O17_H1
SRR28454437,CTE45N_O17_C3
SRR28454438,CTE45N_O16_C3
SRR28454439,CTE45N_O17_C2
